Реестр чрезвычайных ситуаций с 2001 года,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,ВСЕГО,Unnamed: 11,Unnamed: 12
№,Локальный,Муниципальный,Межмуниципальный,Региональный,Межрегиональный,Федеральный,ВСЕГО,,Природные ЧС,435,,
2001,16,5,0,1,0,3,25,,Техногенные ЧС,262,,
2002,0,2,0,3,0,3,8,,Биолого-соц ЧС,35,,
2003,13,6,0,2,0,0,21,,Всего,732,,
2004,12,7,0,4,0,0,23,,,,,
2005,26,4,0,1,0,0,31,,,,,
2006,33,5,0,0,0,0,38,,,,,
2007,0,0,0,0,0,0,0,,,,,
2008,30,22,3,0,0,0,55,,,,,
2009,0,2,0,0,0,0,2,,,,,
2010,1,6,0,0,0,0,7,,,,,
2011,0,5,1,1,0,0,7,,,,,
2012,5,17,2,4,0,0,28,,,,,
2013,0,7,3,6,0,0,16,,,,,
2014,1,6,0,5,0,0,12,,,,,
2015,3,3,0,0,0,0,6,,,,,
2016,2,18,0,1,0,0,21,,,,,
2017,4,41,1,1,0,1,48,,,,,
2018,1,65,5,9,0,1,81,,,,,
2019,2,53,3,1,0,0,59,,Кол-во ошибок,2,,
2020,0,46,2,1,0,0,49,,,,,
2021,0,45,0,3,1,0,49,,,,,
2022,1,35,0,2,0,1,39,,,,,
2023,1,31,0,1,1,0,34,,,,,
2024,0,45,0,2,0,2,49,,,,,
2025,2,21,0,1,0,0,24,,,,,
Итого,153,497,20,49,2,11,732,734,по нумерации Реестр_ЧС,,,
Реестр природных ЧС,,,,,,,,,,,,
,Весеннее половодье,Неблагоприятные погодные условия,Летне-осенний паводок,Природные пожары,Засуха,Землетрясение,ВСЕГО,,,,,
2001,0,0,0,0,0,0,0,,,,,
2002,0,0,0,0,0,0,0,,,,,
2003,1,0,0,0,0,0,1,,,,,
2004,0,0,5,1,0,0,6,,,,,
2005,1,0,1,0,0,0,2,,,,,
2006,0,1,2,0,0,3,6,,,,,
2007,0,0,0,0,0,0,0,,,,,
2008,7,0,1,1,0,0,9,,,,,
2009,0,0,0,0,0,0,0,,,,,
2010,5,0,0,0,0,0,5,,,,,
2011,4,0,0,2,0,0,6,,,,,
2012,10,0,1,12,0,0,23,,,,,
2013,2,0,9,1,0,0,12,,,,,
2014,0,0,3,5,0,0,8,,,,,
2015,0,1,1,2,0,0,4,,,,,
2016,1,2,10,2,0,0,15,,,,,
2017,1,1,14,11,1,0,28,,,,,
2018,41,3,19,10,0,0,73,,,,,
2019,3,2,2,36,1,0,44,,,,,
2020,19,2,0,25,0,0,46,,,,,
2021,4,0,1,30,2,0,37,,,,,
2022,6,0,5,18,0,0,29,,,,,
2023,11,0,1,14,0,0,26,,,,,
2024,21,0,1,18,0,0,40,,,,,
2025,2,0,4,9,0,0,15,,,,,
Итого,139,12,80,197,4,3,435,,,,,
Реестр техногенных ЧС,,,,,,,,,,,,
,"Дорожно-транспортные происшествия, на водном транспорте, АСР","Разрушения дорожного полотна,  моста",Угроза аварии на ГТС,Авиационные инциденты,Объекты энергоснабжения,Аварии на горных предприятиях,Техногенные пожары,Аварии в отопительный сезон,Разлив нефтепродуктов,"Взрывы бытового газа, прорывы на газо-магистральной линии",Поисковые работы,Всего
2001,3,1,0,1,0,0,11,8,0,0,0,24
2002,0,0,0,0,0,0,2,6,0,0,0,8
2003,5,1,0,0,0,0,9,3,0,1,0,19
2004,5,0,0,0,0,0,9,3,0,0,0,17
2005,1,1,0,1,0,0,25,0,0,0,0,28
2006,3,0,0,1,0,0,25,0,0,2,0,31
2007,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,0,0,0,1,0,19,3,0,0,0,24
2009,0,0,0,2,0,0,0,0,0,0,0,2
2010,1,0,0,0,0,0,0,0,1,0,0,2
2011,0,1,0,0,0,0,0,0,0,0,0,1
2012,1,0,0,1,0,1,1,1,0,0,0,5
2013,1,0,0,1,0,0,1,1,0,0,0,4
2014,1,2,0,0,0,0,0,1,0,0,0,4
2015,0,1,0,0,0,0,0,0,1,0,0,2
2016,0,3,1,1,0,0,0,0,0,0,1,6
2017,1,7,2,0,1,1,1,1,1,0,4,19
2018,2,3,1,0,0,0,0,1,0,1,0,8
2019,2,1,2,0,1,0,0,1,1,0,7,15
2020,0,0,0,0,0,0,0,0,0,1,2,3
2021,3,1,1,0,0,0,0,0,0,0,4,9
2022,1,0,1,1,0,0,0,1,0,0,5,9
2023,0,0,2,0,0,0,0,1,0,0,3,6
2024,1,1,0,0,1,0,0,0,0,2,4,9
2025,1,3,0,0,0,0,1,1,0,0,1,7
Итого,33,26,10,9,4,2,104,32,4,7,31,262
Реестр биолого-социальные ЧС,,,,,,,,,,,,
,Связанные с нападением диких животных,Заболевание животных,Отравления,Лесное хозяйство,ВСЕГО,,,,,,,
2001,0,0,1,0,1,,,,,,,
2002,0,0,0,0,0,,,,,,,
2003,0,0,1,0,1,,,,,,,
2004,0,0,0,0,0,,,,,,,
2005,0,0,1,0,1,,,,,,,
2006,0,0,1,0,1,,,,,,,
2007,0,0,0,0,0,,,,,,,
2008,0,22,0,0,22,,,,,,,
2009,0,0,0,0,0,,,,,,,
2010,0,0,0,0,0,,,,,,,
2011,0,0,0,0,0,,,,,,,
2012,0,0,0,0,0,,,,,,,
2013,0,0,0,0,0,,,,,,,
2014,0,0,0,0,0,,,,,,,
2015,0,0,0,0,0,,,,,,,
2016,0,0,0,0,0,,,,,,,
2017,1,0,0,0,1,,,,,,,
2018,0,0,0,0,0,,,,,,,
2019,0,0,0,0,0,,,,,,,
2020,0,0,0,0,0,,,,,,,
2021,2,0,0,1,3,,,,,,,
2022,0,0,0,1,1,,,,,,,
2023,1,1,0,0,2,,,,,,,
2024,0,0,0,0,0,,,,,,,
2025,0,0,1,1,2,,,,,,,
Итого,4,23,5,3,35,,,,,,,
,,,,,,,,,,,,
,"* Данные ГБУ РС(Я) ""Служба спасения Республики Саха (Якутия)",,,,,,,,,,,
